curso;ano;id_curso;tipo_curso;campus;matriculados
"COMPUTAÇÃO             ";1999;1000000026;"BACHARELADO                   ";"SALVADOR     ";121
"COMPUTAÇÃO             ";2000;1000000026;"BACHARELADO                   ";"SALVADOR     ";167
"COMPUTAÇÃO             ";2001;1000000026;"BACHARELADO                   ";"SALVADOR     ";188
"COMPUTAÇÃO             ";2002;1000000026;"BACHARELADO                   ";"SALVADOR     ";250
"COMPUTAÇÃO             ";2003;1000000026;"BACHARELADO                   ";"SALVADOR     ";258
"COMPUTAÇÃO             ";2004;1000000026;"BACHARELADO                   ";"SALVADOR     ";265
"COMPUTAÇÃO             ";2005;1000000026;"BACHARELADO                   ";"SALVADOR     ";294
"COMPUTAÇÃO             ";2006;1000000026;"BACHARELADO                   ";"SALVADOR     ";302
"COMPUTAÇÃO             ";2007;1000000026;"BACHARELADO                   ";"SALVADOR     ";268
"COMPUTAÇÃO             ";2008;1000000026;"BACHARELADO                   ";"SALVADOR     ";263
"COMPUTAÇÃO             ";2009;1000000026;"BACHARELADO                   ";"SALVADOR     ";267
"COMPUTAÇÃO             ";2010;1000000026;"BACHARELADO                   ";"SALVADOR     ";299
"COMPUTAÇÃO             ";2011;1000000026;"BACHARELADO                   ";"SALVADOR     ";275
"COMPUTAÇÃO             ";2012;1000000026;"BACHARELADO                   ";"SALVADOR     ";263
"COMPUTAÇÃO             ";2013;1000000026;"BACHARELADO                   ";"SALVADOR     ";250
"COMPUTAÇÃO             ";2014;1000000026;"BACHARELADO                   ";"SALVADOR     ";230
"COMPUTAÇÃO             ";2015;1000000026;"BACHARELADO                   ";"SALVADOR     ";230
"COMPUTAÇÃO             ";2016;1000000026;"BACHARELADO                   ";"SALVADOR     ";192
"COMPUTAÇÃO             ";2017;1000000026;"BACHARELADO                   ";"SALVADOR     ";188
"COMPUTAÇÃO             ";2018;1000000026;"BACHARELADO                   ";"SALVADOR     ";195
"COMPUTAÇÃO             ";2019;1000000026;"BACHARELADO                   ";"SALVADOR     ";216
"COMPUTAÇÃO             ";2020;1000000026;"BACHARELADO                   ";"SALVADOR     ";201